,Symbol,Holding_Period,Total_Return_no_tp_sl,Accuracy_no_tp_sl,Num_Signals,TP(%),SL(%),Total_Return_with_tp_sl,Accuracy_with_tp_sl,High_in_x_hours,Volume_Increase_Pct,Weight
59,LINK-USD,48,0.1626868958599407,78.57142857142857,14,25,20,0.1626868958599407,78.57142857142857,648,20,7.730378009703555e-17
60,LPT-USD,24,0.5949691049119058,77.77777777777779,9,25,20,0.3715498455551475,88.88888888888889,576,80,0.0283796129619785
61,LRC-USD,144,0.2562738226176875,80.0,5,25,20,0.34220969590091,100.0,648,80,0.0
62,LTC-USD,96,-0.0814919651787592,91.66666666666666,12,25,20,-0.0814919651787592,91.66666666666666,432,80,4.14040544242547e-17
63,MANA-USD,120,0.420782232885208,80.0,10,25,20,0.2690899564505093,80.0,504,60,8.01335607815756e-17
64,MINA-USD,144,-0.1444485931973284,80.0,10,25,40,-0.1444485931973284,80.0,504,20,5.836955270267234e-17
65,MKR-USD,72,0.3075367158671822,76.19047619047619,21,25,20,0.3828290717904263,80.95238095238095,288,20,0.0
66,MOVR-USD,168,-0.9887699707565588,77.77777777777779,9,25,40,-1.029740431852574,88.88888888888889,648,20,0.0
67,MTL-USD,144,0.2454618355638905,87.5,8,25,40,0.2373198331004323,100.0,504,20,4.038195800061607e-17
68,NEAR-USD,48,0.57499098746734,75.0,12,25,20,0.6749097144609723,83.33333333333334,720,80,2.3513750279746263e-17
69,NKN-USD,144,-0.5832875407664073,77.77777777777779,9,25,40,-0.5794655151801612,77.77777777777779,720,80,1.099498752765595e-17
70,NMR-USD,72,0.6023829327190195,77.77777777777779,9,25,20,0.5693127309643754,77.77777777777779,504,20,5.5340123347658406e-17
71,OM-USD,168,3.676988364887096,86.66666666666667,15,25,40,1.5202247440230603,93.33333333333331,216,20,0.03650211500109168
72,OP-USD,72,-0.1614557884207257,100.0,6,25,20,-0.1614557884207257,100.0,720,40,0.0
73,OSMO-USD,168,0.2020004015046612,100.0,7,25,20,0.2078167300352095,100.0,432,20,0.0
74,OXT-USD,72,0.5409451062018006,78.57142857142857,14,25,20,0.4816758144135817,85.71428571428571,360,40,0.0
75,PHB-USD,168,0.7341665426766573,71.42857142857143,7,25,20,0.5646851304380484,71.42857142857143,648,80,0.019827032180033764
76,POWR-USD,96,0.4532237200663787,88.88888888888889,9,25,20,0.604723080412479,88.88888888888889,648,20,0.0
77,QNT-USD,168,-0.2374488809121319,100.0,8,25,40,-0.1261948657368206,100.0,504,20,1.4524287548500788e-17
78,RAY-USD,168,0.451838705052362,100.0,8,25,40,0.7184436968573551,100.0,576,60,0.0
79,REQ-USD,144,0.0217792078140614,69.23076923076923,13,25,20,0.4905038064275792,76.92307692307693,288,20,0.0
80,RIF-USD,144,0.3198347422516895,88.88888888888889,9,25,40,0.659774923491099,88.88888888888889,648,20,0.0
81,RLC-USD,96,0.8433464471829306,85.71428571428571,14,25,40,0.5874263540276613,85.71428571428571,288,20,0.005499641346372669
82,ROSE-USD,96,0.3914388280566938,76.92307692307693,13,25,20,0.3743157789012269,84.61538461538461,360,20,0.0
83,RPL-USD,144,-0.4621773674626948,85.71428571428571,7,25,40,-0.4621773674626948,85.71428571428571,720,100,0.0
84,RUNE-USD,96,0.2829019317037305,83.33333333333334,6,25,20,0.1721180711668505,83.33333333333334,720,100,1.3675612642879691e-17
85,SAND-USD,168,-0.0297220048235162,100.0,4,25,40,0.0717534286659521,100.0,576,40,4.0189060414897796e-17
86,SC-USD,72,0.8438743880497446,80.0,15,25,20,0.7578639977940109,80.0,288,20,0.016454251552849908
87,SCRT-USD,96,0.0354381122764074,87.5,8,25,20,0.0173183769470612,87.5,648,20,5.0953145613098876e-17
88,SHIB-USD,24,1.264201876668391,90.0,10,25,20,1.1414961005823216,90.0,648,100,0.04568268360414581
89,SNX-USD,168,-0.320315775738231,87.5,8,25,20,-0.320315775738231,87.5,432,20,0.0
90,SOL-USD,144,0.1482528360736201,75.0,8,25,40,0.1482528360736201,75.0,720,60,2.1562562451777112e-17
91,STMX-USD,144,0.7053722460487954,83.33333333333334,6,25,20,0.3382907007030126,83.33333333333334,576,80,0.018456122649437242
92,STORJ-USD,144,0.3743805523433754,77.77777777777779,9,25,20,0.26463309415612,77.77777777777779,504,20,0.0
93,STX-USD,120,1.034453021570587,87.5,8,25,40,0.3720892156331845,87.5,216,20,0.004089403363420872
94,SUI20947-USD,120,0.7902698668616707,81.81818181818183,11,25,20,0.6836921577593924,90.9090909090909,504,100,0.0018406297845207811
95,SUN-USD,120,1.5601405258698406,85.71428571428571,7,25,40,0.4816400935620586,100.0,432,80,0.04214697396628666
96,SUSHI-USD,120,0.3485759767378026,84.61538461538461,13,25,20,0.4768852502978579,92.3076923076923,360,80,0.0
97,SXP-USD,120,0.1926172996965627,87.5,8,25,40,0.3567639004016435,87.5,504,20,0.0
98,THETA-USD,168,-0.024320418605648,100.0,9,25,40,-0.024320418605648,100.0,288,20,0.0
99,TON-USD,120,0.4916351051899675,93.75,16,25,40,0.8042949096034664,87.5,288,60,4.3693647580366275e-18
100,TRB-USD,48,0.1908346951945642,80.0,10,25,20,0.4107194838251436,80.0,360,100,0.0
101,TRX-USD,168,0.5468391659322263,75.0,16,25,20,0.5857547210275075,75.0,72,20,0.030903705892507266
102,TWT-USD,144,-0.1017871430397419,85.71428571428571,7,25,20,-0.1017871430397419,85.71428571428571,648,80,0.0
103,UMA-USD,168,0.9961149177929116,87.5,8,25,40,0.3050830966187647,87.5,432,20,0.012661890841804633
104,UNI7083-USD,96,0.1545584529411676,78.57142857142857,14,25,40,0.2153344341168716,85.71428571428571,360,40,0.0
105,VET-USD,96,0.2811563990299203,90.0,10,25,40,0.2811563990299203,90.0,432,80,1.1806644493823888e-17
106,WIF-USD,96,2.3728036599870164,75.0,12,25,20,1.373884443960249,75.0,360,20,0.026975564011811615
107,WLD-USD,96,0.6426411485931132,80.0,10,25,40,0.5300134761143124,80.0,360,40,2.916718328621745e-17
108,XEC-USD,120,0.2618015394980652,71.42857142857143,7,25,20,0.1966134718995659,71.42857142857143,720,20,0.0
109,XLM-USD,96,0.0423894296055813,100.0,6,25,20,0.0423894296055813,100.0,648,40,0.0
110,XRP-USD,144,-0.2071130021871989,80.0,15,25,40,-0.1184843035273664,80.0,288,80,5.2189200172301556e-17
111,XTZ-USD,72,0.1181393885383584,83.33333333333334,12,25,20,0.0202186586470993,91.66666666666666,648,40,0.0
112,YFI-USD,168,0.3004764283288881,75.0,12,25,20,0.3073821760213745,75.0,216,20,0.0
113,ZIL-USD,168,0.0589540140606296,85.71428571428571,7,25,20,0.1023681628324238,100.0,504,20,4.825489886952521e-17
114,ZRX-USD,144,-0.2666939795010653,100.0,8,25,20,-0.3454243373850393,100.0,720,80,0.0
115,VELO20435-USD,144,0.9563143852140134,87.5,8,10,20,0.0005249188167362,100.0,672,40,0.002206188523690349
116,KUB-USD,72,0.2845069583180089,77.77777777777779,9,10,20,0.2124310293490801,77.77777777777779,528,80,0.02244028881071235
117,SNT-USD,48,0.4693544611574599,73.68421052631578,19,10,20,0.8689310075038004,89.47368421052632,264,20,0.005478578575401823
118,IOST-USD,168,0.0990859774795476,100.0,5,10,50,-0.0225451933955485,100.0,624,20,0.0
119,ENJ-USD,168,0.1532892253413344,100.0,4,10,20,0.3992525199753275,100.0,720,80,0.0
120,CTXC-USD,144,1.0996385632329098,86.66666666666667,15,10,20,0.7670922207367139,100.0,24,80,0.035475358551204934
121,SIX-USD,144,-0.3845583184706943,100.0,6,10,50,-0.2886228542682661,100.0,720,20,1.1626225019586734e-17
122,JFIN-USD,72,0.3784050207121474,100.0,7,10,20,0.0931816349346877,100.0,648,20,0.04275698773539032
123,COMP5692-USD,96,1.0318414964117957,91.66666666666666,12,10,20,0.573981134462229,100.0,384,40,0.01912426050607466
124,KSM-USD,96,0.354632142802504,83.33333333333334,12,10,30,0.0369889977752812,91.66666666666666,432,60,0.0
125,GLM-USD,24,1.1225004846202808,83.33333333333334,12,10,20,0.385112765548475,100.0,456,20,0.07936511767607216
126,API3-USD,144,0.3070492241207935,87.5,8,10,10,0.6958676844052032,100.0,648,20,3.242846658511358e-17
127,MATIC-USD,168,0.2281263533320729,83.33333333333334,6,10,20,0.3325733264223689,100.0,384,100,0.0
128,ILV-USD,72,-0.1127844680954548,100.0,11,10,30,0.095879209400177,100.0,672,20,0.0
129,IMX10603-USD,144,0.4594732048627969,87.5,8,10,30,0.2011292339361403,100.0,336,100,4.1477763094850815e-17
130,GRT6719-USD,72,0.6648480513774111,92.3076923076923,13,10,20,0.5696566494064642,100.0,408,60,0.012323302024923249
131,GT-USD,168,1.0780224993299163,81.81818181818183,11,10,10,0.7346935959181049,100.0,504,20,0.0464004781724675
132,C98-USD,168,-0.3580308221948621,100.0,7,10,50,-0.5606322384852603,100.0,504,20,5.3013232588285006e-17
133,LUNC-USD,144,0.7464317910471434,75.0,16,10,20,0.4682315180328156,87.5,168,20,1.412507364676167e-17
134,GLMR-USD,144,0.2134926275635179,87.5,8,10,30,0.0757162788538649,87.5,528,20,0.0
135,STG18934-USD,96,-0.2613914658006961,77.77777777777779,9,10,20,-0.0533058118543693,88.88888888888889,480,20,0.0
136,AXL17799-USD,120,0.4605378868839306,81.81818181818183,11,10,20,0.4147725699801621,90.9090909090909,312,60,0.0
137,HFT22461-USD,144,-0.0172828088230348,100.0,9,10,30,-0.1370550758835091,100.0,480,60,0.0
138,LQTY-USD,72,0.20801387005866,75.0,16,10,30,0.112281795717886,81.25,408,40,0.0
139,PERP-USD,120,0.2774317266908971,100.0,11,10,30,0.3694555656905757,100.0,456,20,0.0
140,ID21846-USD,144,0.3541295665706904,71.42857142857143,14,10,30,-0.3276128767783401,85.71428571428571,288,100,0.0
141,JOE-USD,144,0.5958106951824979,88.88888888888889,9,10,30,0.1832598025500096,88.88888888888889,552,40,0.0
142,BLUR-USD,168,0.0991427397164557,88.88888888888889,9,10,40,0.4059328782735396,100.0,384,100,0.0
143,WOO-USD,144,-0.2705761395775964,75.0,20,10,30,-0.1819600917038933,85.0,168,60,0.0
144,GMX11857-USD,120,0.1220541246812833,68.42105263157895,19,10,40,-0.0017277483936078,73.68421052631578,24,20,0.0
145,PLN31160-USD,144,-0.32962656946376,84.61538461538461,13,10,20,-0.1313931399123946,84.61538461538461,24,100,0.0
146,TIA22861-USD,144,-0.4753889579694682,83.33333333333334,12,10,40,-0.3017609171572449,83.33333333333334,24,20,0.0
147,LYX-USD,72,-0.041395840151429,87.5,8,10,30,-0.3546755514925941,87.5,504,100,3.114474492415735e-18
148,ONDO-USD,168,0.8056738588938241,100.0,5,10,20,0.625305226303735,100.0,696,60,0.002752573611153003
149,ALT29073-USD,168,0.3348988017805936,100.0,5,10,30,0.0434290674663163,100.0,504,100,0.0
150,RDNT-USD,168,-0.8129577162530667,100.0,7,10,40,-0.7723635854983487,85.71428571428571,624,40,0.0
151,SFP-USD,120,-0.2965206090846192,85.71428571428571,7,10,20,-0.1812329189270875,85.71428571428571,576,40,2.953074074923176e-17
152,MBX18895-USD,168,0.6473658199165673,83.33333333333334,6,10,20,0.4739180515076165,100.0,696,20,0.016649253943615508
153,AEVO-USD,168,-0.064417985581625,100.0,9,10,40,0.5817403310152988,100.0,312,20,0.0
154,SKL-USD,120,0.3180635643135787,85.71428571428571,7,10,20,0.3049006269382868,100.0,696,20,0.0
155,MAVIA-USD,120,0.1378124541810974,100.0,5,10,40,0.0922552116828814,100.0,456,100,1.4654271304811374e-17
156,ZENT-USD,144,0.4181582915075444,81.81818181818183,11,10,40,0.3673931838563657,90.9090909090909,96,40,7.703645301771579e-18
157,IQ-USD,144,0.5813789095757453,88.88888888888889,9,10,20,0.3735825482895686,100.0,504,20,6.325644398062214e-18
158,ETHFI-USD,72,0.4086851847067912,75.0,28,10,30,-0.0165023580824084,85.71428571428571,72,20,0.0
159,AERO-USD,120,-0.1257087087444305,100.0,4,10,40,-0.2775760249839391,100.0,696,100,0.0
160,TRAC-USD,168,0.5423886701021348,100.0,4,10,20,0.3684379840089163,100.0,696,20,0.06711928378821252
161,QI-USD,168,38.15045203469114,83.33333333333334,12,10,40,1.760745648896175,91.66666666666666,24,20,0.0077802582203495
162,SAFE-USD,72,2.995566631405149,100.0,5,10,40,-0.3892820939570709,60.0,96,20,0.0026241814462406128
163,REZ-USD,120,-0.0083305527419329,100.0,4,10,20,-0.0043688414998711,100.0,480,60,0.0
164,SSV-USD,24,-0.1018349608725315,81.81818181818183,11,10,20,0.0098590506544282,81.81818181818183,720,80,0.0
165,RON14101-USD,96,0.5007439885523942,88.88888888888889,9,10,20,0.2717161733640216,88.88888888888889,528,20,0.024782504767272125
166,RSR-USD,144,0.4127595746000413,75.0,8,10,20,0.7809608238351758,100.0,552,20,8.835809980135899e-18
167,ZK24091-USD,96,-0.0455611107238563,100.0,5,10,30,-0.0416057968840791,100.0,720,20,0.0
168,CELR-USD,144,-0.200709091955272,91.66666666666666,12,10,30,0.1039854657367003,91.66666666666666,264,100,0.0
169,ZRO26997-USD,144,0.9204514869414544,87.5,8,10,10,0.6654598669631251,87.5,168,20,0.010749728891080489
170,ATH30083-USD,48,-0.069302992604796,100.0,6,10,20,-0.069302992604796,100.0,480,100,0.0
171,MNT27075-USD,96,0.3556440329736866,88.88888888888889,9,10,20,0.4114155892738644,100.0,696,80,0.0
172,IOTX-USD,144,0.2881672785541257,85.71428571428571,7,10,20,0.4152797644139522,85.71428571428571,672,20,7.71876316247626e-18
173,WCORE-USD,120,1.237060560730218,87.5,8,10,30,0.110047863518269,87.5,600,100,0.02912618257613387
174,PYTH-USD,168,0.067677847398482,85.71428571428571,14,10,30,0.2525774795755561,92.85714285714286,96,40,0.0
175,LM-USD,72,0.5784266081182653,77.77777777777779,9,10,30,0.2532296669397778,88.88888888888889,408,100,0.009324083736901103
