Symbol,Last_Trigger_Date,Price(THB),Price(USD),High_in_x_hours,Volume_Increase_Pct,Holding_hours,TP(%),SL(%),Num_Signals,AVG_Return_No_TP_SL,Accuracy_No_TP_SL,AVG_Return_With_TP_SL,Accuracy_With_TP_SL,Weight,Sell
FET-USD,2024-11-28 23:00:00+07:00,54.025617407560354,1.5746318101882935,168,50,96,100,40,107,8.019031081727006,69.1588785046729,8.019031081727006,69.1588785046729,0.018,False
FIL-USD,2024-11-10 06:00:00+07:00,139.26517397880556,4.059025764465332,696,20,240,100,40,50,6.3145526229402265,72.0,6.3145526229402265,72.0,0.0144,True
FLM-USD,2024-11-10 11:00:00+07:00,2.1374747950583686,0.0622988864779472,648,20,192,100,40,44,3.0276950018217494,70.45454545454545,3.0239129399337785,70.45454545454545,0.0036,True
FLOKI-USD,2024-11-10 17:00:00+07:00,0.005693654548230978,0.0001659473782638,696,10,216,100,60,60,80.52190167411685,80.0,43.284705288665535,80.0,0.0024,True
FLOW-USD,2024-11-10 16:00:00+07:00,20.708655903935433,0.6035749316215515,648,70,144,100,20,35,4.412215760302343,62.85714285714285,4.248245391256202,62.85714285714285,0.006,True
FTM-USD,2024-11-29 17:00:00+07:00,35.923132073879245,1.0470163822174072,24,20,48,100,20,308,1.832725096321832,57.46753246753247,1.7837764958616211,57.46753246753247,0.0096,False
FUN-USD,2024-11-27 16:00:00+07:00,0.1292977122683046,0.0037685139104723,48,90,48,100,20,118,-0.7143342939304729,50.84745762711864,-0.8253126866694661,50.84745762711864,0.0,True
FXS-USD,2024-11-23 08:00:00+07:00,87.42888553857804,2.548204183578491,648,70,48,100,20,20,0.7828291978643288,60.0,0.7828291978643288,60.0,0.0,True
GALA-USD,2024-11-23 18:00:00+07:00,1.0947809228673573,0.0319085083901882,672,10,48,100,20,50,6.937954560282813,68.0,6.778805274674687,68.0,0.012,True
GNO-USD,2024-11-23 22:00:00+07:00,9583.62336883545,279.3244934082031,672,10,240,100,20,61,8.26261269932546,80.32786885245902,8.416201663033911,80.32786885245902,0.0336,False
HBAR-USD,2024-11-30 02:00:00+07:00,5.88935776606202,0.1716513484716415,432,10,120,100,40,82,11.177489349198051,70.73170731707317,12.359605454540644,70.73170731707317,0.0108,False
ICP-USD,2024-11-25 14:00:00+07:00,412.5569593524933,12.024394035339355,192,30,24,100,20,92,4.643743182379131,65.21739130434783,4.643743182379131,65.21739130434783,0.036,True
INJ-USD,2024-11-27 00:00:00+07:00,1040.4998570251466,30.326431274414062,384,100,24,100,20,35,0.5927568992352952,68.57142857142857,0.5927568992352952,68.57142857142857,0.0036,True
KAVA-USD,2024-11-11 01:00:00+07:00,13.20153661519289,0.3847722709178924,576,50,144,100,20,36,3.7208855024425205,77.77777777777779,4.134545858035669,77.77777777777779,0.006,True
KNC-USD,2024-11-18 22:00:00+07:00,18.924669305682183,0.5515788197517395,384,80,120,100,20,52,2.231237702248161,69.23076923076923,2.2634320765544222,69.23076923076923,0.0,True
LDO-USD,2024-11-21 19:00:00+07:00,40.87577417373657,1.191366195678711,24,20,48,100,20,238,0.33937143363603706,49.57983193277311,0.22897742282031763,49.57983193277311,0.0,True
